player,betweeness,closeness,pagerank,mean
Sergio Busquets i Burgos,0.024349527832729412,0.9583333333333334,0.07157808599788654,0.3514203157213165
Frenkie de Jong,0.01759722216738027,0.9583333333333334,0.07109441306957617,0.3490083228567633
Antoine Griezmann,0.022915937268704067,0.9583333333333334,0.0622913794979373,0.3478468833666582
Lionel Andrés Messi Cuccittini,0.011734244565272233,0.92,0.08758992911215445,0.3397747245591422
Jordi Alba Ramos,0.017784896811576655,0.8846153846153846,0.10263725153301213,0.3350125109866578
Sergi Roberto Carnicer,0.022304279493014674,0.92,0.04858091430733046,0.3302950646001151
Óscar Mingueza García,0.01834146584640656,0.92,0.04748646037726638,0.32860930874122435
Sergino Dest,0.02007397247021753,0.92,0.04493167955883905,0.3283352173430189
Gerard Piqué Bernabéu,0.016013424980816288,0.8846153846153846,0.060627945701827606,0.32041891843267617
Pedro González López,0.009688996225557488,0.8846153846153846,0.05150329152130687,0.31526922412074965
Francisco António Machado Mota de Castro Trincão,0.012741255231373809,0.8846153846153846,0.020973243714823092,0.30610996118719386
Miralem Pjanić,0.03287958199025393,0.8518518518518519,0.02664032751351022,0.3037905871185387
Clément Lenglet,0.010561482325316318,0.8214285714285714,0.0640433626709449,0.2986778054749442
Ronald Federico Araújo da Silva,0.003738282468519622,0.8214285714285714,0.03358500695948474,0.2862506202855252
Moriba Kourouma Kourouma,0.0038053843389811762,0.8214285714285714,0.02636560544611999,0.2838665204045575
Ousmane Dembélé,0.002900933607455346,0.7931034482758621,0.048638773998319354,0.2815477186272123
Martin Braithwaite Christensen,0.005994952017679292,0.7931034482758621,0.017461795000042843,0.27218673176452807
Marc-André ter Stegen,0.0029347272183240553,0.7666666666666667,0.02971177795744264,0.26643772394747783
Samuel Yves Umtiti,0.0012743405035895152,0.7419354838709677,0.02416235097678452,0.2557907251171139
Ricard Puig Martí,0.006586740554131858,0.7419354838709677,0.012429665463498878,0.2536506299628662
Philippe Coutinho Correia,0.0004484645788993614,0.71875,0.01828109485361202,0.24582651981083714
Anssumane Fati,0.0,0.6388888888888888,0.01256365850477546,0.21715084913122143
Héctor Junior Firpo Adames,0.00015202189115232594,0.575,0.008334895796012383,0.1944956392290549
Norberto Murara Neto,0.0,0.5609756097560976,0.008487090467492003,0.18982090007452987
